state,district,crop,season,area,rainfall,temperature,production,yield
Tamil Nadu,Cuddalore,Cotton,Zaid,39.97,1074.94,34.38,69.87,1.75
Uttar Pradesh,Allahabad,Mustard,Rabi,5.66,853.67,10.73,2.7,0.48
Haryana,Panipat,Rice,Rabi,21.05,799.95,28.52,36.95,1.76
Odisha,Sundargarh,Sesame,Rabi,25.02,1703.44,25.23,4.02,0.16
Haryana,Karnal,Bajra,Rabi,17.34,464.59,33.26,15.21,0.88
Uttar Pradesh,Moradabad,Potato,Zaid,32.62,663.4,17.49,563.69,17.28
Haryana,Bhiwani,Bajra,Zaid,11.07,641.23,27.04,8.88,0.8
Maharashtra,Nashik,Groundnut,Kharif,8.14,2591.35,22.67,6.65,0.82
Punjab,Gurdaspur,Wheat,Kharif,14.62,429.57,32.44,30.74,2.1
Kerala,Thrissur,Banana,Kharif,13.39,1711.07,34.23,371.74,27.76
Bihar,Munger,Maize,Zaid,49.84,1497.07,41.72,49.91,1.0
Andhra Pradesh,Srikakulam,Chilli,Kharif,1.93,956.99,24.48,2.5,1.3
Kerala,Kozhikode,Rice,Rabi,39.13,2088.27,26.94,113.25,2.89
Maharashtra,Ratnagiri,Cotton,Rabi,46.46,2815.68,32.62,39.24,0.84
Punjab,Sangrur,Wheat,Rabi,17.68,675.52,10.61,51.27,2.9
Haryana,Kurukshetra,Cotton,Kharif,16.43,781.46,30.49,27.84,1.69
Assam,Jorhat,Rice,Rabi,40.87,2845.35,30.07,66.08,1.62
Bihar,Begusarai,Rice,Zaid,46.8,1545.49,19.91,110.01,2.35
Bihar,Vaishali,Potato,Rabi,5.49,1377.59,17.15,82.44,15.02
Odisha,Kendrapara,Rice,Kharif,38.79,1386.33,37.53,71.46,1.84
Haryana,Sonipat,Rice,Kharif,45.75,462.29,36.57,50.76,1.11
Assam,Sonitpur,Potato,Zaid,45.64,1927.58,34.13,234.44,5.14
Kerala,Palakkad,Banana,Rabi,25.28,1960.41,29.11,722.2,28.57
Maharashtra,Solapur,Rice,Rabi,0.75,1533.83,39.37,1.48,1.97
Bihar,Darbhanga,Maize,Rabi,22.02,1095.2,39.82,48.96,2.22
Odisha,Kalahandi,Sesame,Zaid,27.15,1357.74,26.2,4.62,0.17
West Bengal,Bankura,Tea,Zaid,43.78,1435.47,30.99,66.34,1.52
Madhya Pradesh,Sagar,Gram,Kharif,32.7,976.29,20.29,20.9,0.64
Karnataka,Belgaum,Sugarcane,Zaid,4.89,2928.66,35.52,132.77,27.15
Gujarat,Kutch,Tobacco,Rabi,45.31,646.11,34.31,65.0,1.43
Andhra Pradesh,Chittoor,Groundnut,Rabi,35.63,990.23,37.41,30.45,0.85
Assam,Tinsukia,Tea,Kharif,0.84,2228.93,31.61,1.05,1.24
West Bengal,Bardhaman,Rice,Kharif,21.57,2141.22,37.7,41.39,1.92
Rajasthan,Kota,Wheat,Zaid,21.29,521.24,16.21,62.82,2.95
West Bengal,Kolkata,Tea,Zaid,24.26,2180.89,18.33,30.32,1.25
Assam,Jorhat,Potato,Kharif,36.88,1554.57,20.89,501.83,13.61
Maharashtra,Nagpur,Groundnut,Kharif,16.14,2697.65,28.28,13.77,0.85
Maharashtra,Nashik,Soybean,Kharif,2.93,1737.79,37.61,1.65,0.56
Kerala,Malappuram,Rice,Kharif,37.74,1748.33,25.19,75.66,2.01
Tamil Nadu,Tirunelveli,Coconut,Kharif,43.22,1091.62,34.9,360.35,8.34
Andhra Pradesh,Kurnool,Chilli,Rabi,1.78,820.28,37.13,3.28,1.85
Uttar Pradesh,Kanpur,Sugarcane,Kharif,27.92,1027.19,35.0,1177.67,42.19
Andhra Pradesh,Prakasam,Sugarcane,Rabi,39.27,954.29,29.11,1766.15,44.98
Maharashtra,Solapur,Jowar,Rabi,44.48,1418.36,26.38,22.89,0.51
Odisha,Khurda,Groundnut,Rabi,15.01,1222.72,32.56,14.53,0.97
Odisha,Koraput,Groundnut,Zaid,25.51,1444.9,39.41,12.71,0.5
Kerala,Thrissur,Rubber,Rabi,42.87,2351.85,29.31,57.52,1.34
Maharashtra,Nagpur,Cotton,Kharif,43.69,1688.76,27.19,46.5,1.06
Odisha,Mayurbhanj,Rice,Rabi,13.95,1421.05,26.3,36.31,2.6
Bihar,Saran,Rice,Kharif,42.08,1145.33,34.74,80.43,1.91
Haryana,Karnal,Mustard,Rabi,32.64,401.68,18.37,49.61,1.52
Odisha,Sundargarh,Rice,Rabi,33.89,1210.72,18.62,63.77,1.88
Punjab,Hoshiarpur,Sugarcane,Zaid,45.34,825.98,21.0,2485.94,54.83
Gujarat,Bharuch,Cotton,Kharif,4.16,1054.9,31.88,6.13,1.47
West Bengal,Murshidabad,Jute,Zaid,13.8,1815.01,26.19,32.67,2.37
Bihar,Patna,Potato,Rabi,47.51,1100.39,23.83,652.78,13.74
Kerala,Ernakulam,Coconut,Rabi,3.36,3979.06,30.99,12.34,3.68
Odisha,Puri,Jute,Rabi,22.67,1329.35,16.65,28.79,1.27
Karnataka,Dharwad,Jowar,Rabi,46.64,3153.56,26.25,14.58,0.31
Madhya Pradesh,Chhindwara,Soybean,Rabi,38.77,1460.39,20.08,30.94,0.8
Telangana,Adilabad,Maize,Zaid,23.5,809.36,21.22,46.92,2.0
Maharashtra,Kolhapur,Cotton,Kharif,15.11,584.85,27.05,27.33,1.81
Maharashtra,Sangli,Soybean,Zaid,32.99,1425.87,17.87,26.1,0.79
Karnataka,Bidar,Cotton,Kharif,26.71,2227.04,37.25,22.87,0.86
Punjab,Hoshiarpur,Cotton,Kharif,24.54,751.35,33.46,45.57,1.86
Punjab,Patiala,Maize,Zaid,4.7,878.14,10.82,10.11,2.15
Odisha,Puri,Jute,Zaid,49.27,1671.49,28.25,103.55,2.1
Haryana,Panipat,Cotton,Kharif,28.97,775.22,25.86,51.54,1.78
Madhya Pradesh,Chhindwara,Cotton,Zaid,45.77,838.69,37.49,59.99,1.31
Punjab,Hoshiarpur,Sugarcane,Kharif,0.79,535.49,37.26,43.21,54.58
Tamil Nadu,Tirunelveli,Sugarcane,Kharif,26.86,630.21,37.79,1560.67,58.11
Tamil Nadu,Nagapattinam,Groundnut,Rabi,44.11,1087.48,22.91,29.77,0.68
Andhra Pradesh,Srikakulam,Chilli,Kharif,47.96,730.36,27.28,103.81,2.16
Andhra Pradesh,Nellore,Chilli,Rabi,41.54,831.88,31.16,66.05,1.59
Kerala,Kannur,Rubber,Rabi,29.12,3904.79,29.41,40.52,1.39
Maharashtra,Mumbai,Groundnut,Kharif,37.89,1375.14,36.4,19.36,0.51
Madhya Pradesh,Rewa,Gram,Kharif,47.31,991.2,43.91,11.3,0.24
Kerala,Kannur,Tea,Zaid,23.23,1770.76,34.39,26.65,1.15
Karnataka,Belgaum,Coffee,Rabi,49.87,748.78,22.09,29.11,0.58
Telangana,Hyderabad,Chilli,Kharif,23.84,956.31,27.44,56.47,2.37
Uttar Pradesh,Mathura,Potato,Kharif,6.64,961.54,7.28,74.29,11.19
Rajasthan,Ajmer,Maize,Rabi,23.84,546.7,44.95,43.02,1.8
Kerala,Kasaragod,Banana,Rabi,35.7,3744.94,32.99,606.51,16.99
Rajasthan,Jaipur,Maize,Rabi,20.74,403.92,20.81,42.22,2.04
Maharashtra,Thane,Cotton,Zaid,5.52,2414.76,32.26,6.16,1.12
Odisha,Cuttack,Jute,Zaid,5.23,1429.41,30.24,11.01,2.11
Tamil Nadu,Chennai,Groundnut,Zaid,25.86,737.37,28.23,45.58,1.76
West Bengal,Midnapore,Tea,Rabi,32.58,1203.06,39.15,28.3,0.87
Haryana,Karnal,Cotton,Zaid,8.03,698.53,32.52,10.64,1.33
Kerala,Kollam,Banana,Zaid,26.97,3151.61,23.69,455.4,16.88
Assam,Darrang,Jute,Zaid,4.26,2730.29,26.07,8.36,1.96
Gujarat,Ahmedabad,Bajra,Zaid,16.63,1166.42,30.96,7.4,0.44
Maharashtra,Thane,Cotton,Kharif,43.04,2841.63,30.3,44.06,1.02
Madhya Pradesh,Hoshangabad,Gram,Rabi,6.19,889.88,10.42,2.18,0.35
Tamil Nadu,Erode,Groundnut,Kharif,49.49,1387.37,25.56,44.27,0.89
Haryana,Jhajjar,Cotton,Kharif,35.68,370.29,30.7,55.17,1.55
Madhya Pradesh,Vidisha,Wheat,Zaid,40.91,1282.56,38.63,31.78,0.78
Karnataka,Bangalore Rural,Sugarcane,Zaid,22.22,3312.41,31.22,798.22,35.92
Haryana,Faridabad,Mustard,Zaid,38.55,414.15,29.38,35.41,0.92
Haryana,Kurukshetra,Bajra,Zaid,2.12,683.04,28.6,1.74,0.82
Telangana,Hyderabad,Chilli,Rabi,37.48,860.49,27.11,61.06,1.63
Assam,Karbi Anglong,Banana,Kharif,19.63,2145.56,27.52,570.14,29.04
Madhya Pradesh,Sagar,Rice,Kharif,20.87,1231.33,30.95,37.71,1.81
Punjab,Sangrur,Wheat,Rabi,33.82,749.35,5.73,48.4,1.43
Rajasthan,Kota,Wheat,Rabi,42.27,541.99,15.3,154.64,3.66
Uttar Pradesh,Saharanpur,Sugarcane,Kharif,36.94,695.89,18.09,1331.96,36.05
Kerala,Ernakulam,Coconut,Rabi,2.44,2327.14,28.56,21.8,8.93
Rajasthan,Jodhpur,Wheat,Zaid,42.66,181.69,42.25,50.99,1.2
Andhra Pradesh,East Godavari,Sugarcane,Rabi,20.51,879.93,32.96,1452.81,70.82
Punjab,Patiala,Wheat,Rabi,30.92,620.1,37.27,55.7,1.8
Maharashtra,Ahmednagar,Groundnut,Kharif,33.0,827.09,35.21,28.66,0.87
Punjab,Amritsar,Cotton,Kharif,28.05,536.87,17.59,23.17,0.83
Punjab,Moga,Maize,Zaid,23.35,642.81,34.5,48.32,2.07
Madhya Pradesh,Rewa,Cotton,Rabi,3.15,1146.83,31.87,5.1,1.62
Odisha,Bhadrak,Jute,Zaid,40.34,1754.4,18.13,71.67,1.78
Maharashtra,Nashik,Groundnut,Kharif,3.42,2130.41,40.09,2.63,0.77
Madhya Pradesh,Jabalpur,Sugarcane,Kharif,22.69,1298.34,23.96,957.78,42.2
Gujarat,Junagadh,Wheat,Rabi,2.74,393.22,30.37,4.56,1.66
Haryana,Ambala,Wheat,Rabi,11.86,622.18,42.87,21.48,1.81
Kerala,Thiruvananthapuram,Banana,Kharif,39.53,1599.3,27.62,1392.97,35.23
Haryana,Jhajjar,Wheat,Rabi,35.16,327.96,6.36,50.98,1.45
Andhra Pradesh,Chittoor,Tobacco,Zaid,28.86,1178.84,33.31,43.61,1.51
Uttar Pradesh,Varanasi,Potato,Zaid,23.2,1062.96,14.58,381.89,16.46
Madhya Pradesh,Rewa,Sugarcane,Rabi,43.24,1192.79,32.35,3421.66,79.13
Uttar Pradesh,Jhansi,Gram,Kharif,20.11,1155.35,20.23,7.87,0.39
Maharashtra,Ahmednagar,Groundnut,Zaid,40.48,882.41,33.93,32.92,0.81
Andhra Pradesh,Srikakulam,Tobacco,Kharif,20.33,1095.95,33.23,23.37,1.15
Tamil Nadu,Thanjavur,Sugarcane,Rabi,30.66,621.88,27.69,1693.29,55.23
Bihar,Vaishali,Wheat,Zaid,33.15,1513.2,30.21,33.05,1.0
Odisha,Kalahandi,Jute,Rabi,4.41,1698.27,35.18,10.6,2.41
Tamil Nadu,Nagapattinam,Groundnut,Kharif,39.95,756.48,27.29,42.57,1.07
Maharashtra,Thane,Sugarcane,Rabi,44.62,779.58,40.63,1756.7,39.37
Rajasthan,Bikaner,Maize,Zaid,5.16,519.04,41.68,8.09,1.57
Haryana,Sonipat,Mustard,Rabi,43.72,494.34,13.43,37.03,0.85
Telangana,Mahabubnagar,Chilli,Zaid,13.76,805.6,22.04,30.3,2.2
Odisha,Koraput,Jute,Rabi,32.84,1367.75,33.56,80.33,2.45
Uttar Pradesh,Gorakhpur,Mustard,Zaid,2.36,878.65,15.01,1.73,0.73
Uttar Pradesh,Saharanpur,Mustard,Rabi,18.35,987.57,6.95,7.12,0.39
Haryana,Sirsa,Wheat,Zaid,16.66,679.5,27.12,43.38,2.6
Punjab,Sangrur,Rice,Zaid,20.57,896.67,4.68,21.84,1.06
Assam,Sivasagar,Rice,Zaid,27.61,2318.38,28.12,69.36,2.51
Tamil Nadu,Tirunelveli,Coconut,Kharif,0.9,708.15,32.8,6.06,6.72
Andhra Pradesh,West Godavari,Chilli,Zaid,35.75,1034.59,31.42,51.02,1.43
Andhra Pradesh,Kurnool,Sugarcane,Zaid,16.31,994.91,28.29,1038.36,63.66
West Bengal,Jalpaiguri,Jute,Kharif,24.31,1478.32,32.55,46.63,1.92
Rajasthan,Jodhpur,Bajra,Kharif,24.61,423.52,30.95,29.56,1.2
Haryana,Hisar,Bajra,Kharif,20.72,771.08,23.27,8.31,0.4
Telangana,Warangal,Cotton,Zaid,32.93,1152.71,20.76,45.86,1.39
Bihar,Nalanda,Rice,Rabi,6.99,1441.81,18.1,13.98,2.0
Haryana,Gurugram,Mustard,Rabi,27.16,571.9,33.21,12.2,0.45
West Bengal,Darjeeling,Mustard,Kharif,22.65,1646.43,18.07,17.81,0.79
Madhya Pradesh,Rewa,Cotton,Rabi,41.15,1202.12,38.91,46.83,1.14
Assam,Sonitpur,Tea,Zaid,12.78,2321.54,12.49,13.79,1.08
Andhra Pradesh,YSR Kadapa,Rice,Rabi,21.87,908.18,29.71,50.23,2.3
Gujarat,Bharuch,Cotton,Rabi,18.42,1330.01,37.22,18.62,1.01
Tamil Nadu,Salem,Coconut,Rabi,4.2,901.48,26.67,36.9,8.79
Odisha,Khurda,Groundnut,Kharif,8.04,1739.19,18.47,5.85,0.73
Haryana,Panipat,Sugarcane,Kharif,46.62,450.05,26.77,1438.75,30.86
Rajasthan,Sikar,Wheat,Kharif,2.75,479.23,23.5,8.8,3.2
Haryana,Ambala,Bajra,Rabi,34.38,724.91,14.26,22.77,0.66
Tamil Nadu,Salem,Rice,Kharif,49.78,1493.23,31.28,89.04,1.79
Rajasthan,Udaipur,Gram,Kharif,42.6,299.86,45.09,12.72,0.3
Maharashtra,Pune,Groundnut,Kharif,8.35,1342.3,31.5,6.7,0.8
Andhra Pradesh,Prakasam,Cotton,Kharif,34.68,608.79,23.28,40.35,1.16
Uttar Pradesh,Allahabad,Rice,Rabi,24.01,1145.43,25.12,42.7,1.78
Gujarat,Rajkot,Bajra,Zaid,21.4,941.69,40.88,9.24,0.43
Rajasthan,Nagaur,Wheat,Zaid,40.45,778.88,12.4,113.68,2.81
Rajasthan,Barmer,Gram,Zaid,2.82,213.36,45.28,1.03,0.37
Odisha,Sambalpur,Groundnut,Kharif,11.1,1664.21,36.64,7.62,0.69
Bihar,Bhagalpur,Rice,Rabi,4.42,1382.09,19.17,10.26,2.32
Rajasthan,Kota,Barley,Zaid,25.46,371.84,35.1,24.18,0.95
Madhya Pradesh,Chhindwara,Wheat,Kharif,23.96,873.88,38.65,28.78,1.2
Odisha,Ganjam,Rice,Kharif,45.42,1270.53,32.86,97.54,2.15
Telangana,Adilabad,Turmeric,Rabi,10.24,1000.12,20.3,31.01,3.03
Madhya Pradesh,Indore,Rice,Rabi,7.97,1359.2,35.99,19.19,2.41
Haryana,Karnal,Sugarcane,Rabi,33.2,570.46,8.22,1322.44,39.83
West Bengal,Howrah,Wheat,Rabi,34.0,1777.59,19.97,61.28,1.8
Haryana,Karnal,Cotton,Zaid,31.31,462.51,13.1,37.49,1.2
Haryana,Sirsa,Bajra,Kharif,6.84,750.69,21.4,4.05,0.59
Uttar Pradesh,Gorakhpur,Sugarcane,Zaid,43.14,933.96,22.7,2133.81,49.46
Kerala,Malappuram,Coconut,Zaid,11.9,2637.78,35.14,69.47,5.84
Assam,Karbi Anglong,Rice,Zaid,28.19,2745.28,29.89,64.72,2.3
Odisha,Bhadrak,Rice,Rabi,35.34,1270.91,25.77,97.21,2.75
Andhra Pradesh,YSR Kadapa,Tobacco,Kharif,20.9,990.81,33.29,36.9,1.77
Haryana,Bhiwani,Mustard,Rabi,14.47,605.66,43.25,7.19,0.5
Kerala,Malappuram,Tea,Kharif,33.73,3766.96,27.22,43.72,1.3
Assam,Lakhimpur,Tea,Rabi,33.61,2722.23,16.01,68.4,2.03
Andhra Pradesh,Srikakulam,Tobacco,Zaid,3.61,1088.29,31.83,5.16,1.43
Maharashtra,Nashik,Cotton,Rabi,41.17,1808.06,37.27,36.58,0.89
Odisha,Puri,Jute,Rabi,36.55,1363.51,22.61,63.61,1.74
Assam,Lakhimpur,Potato,Kharif,28.17,2124.74,27.29,259.83,9.22
Karnataka,Bellary,Rice,Rabi,15.59,1035.89,18.78,34.05,2.18
Andhra Pradesh,Nellore,Rice,Rabi,20.0,1118.35,28.68,38.27,1.91
Kerala,Thrissur,Banana,Kharif,9.69,2968.52,24.76,164.97,17.03
Gujarat,Banaskantha,Bajra,Zaid,17.53,1144.25,33.81,9.14,0.52
Andhra Pradesh,Nellore,Cotton,Zaid,45.48,1186.3,37.91,55.23,1.21
West Bengal,Malda,Mustard,Rabi,10.37,2288.54,19.42,5.78,0.56
Odisha,Bhadrak,Sugarcane,Rabi,48.83,1549.46,17.47,2265.11,46.38
Telangana,Rangareddy,Maize,Kharif,42.11,754.15,30.59,119.03,2.83
Kerala,Ernakulam,Coconut,Zaid,41.19,1735.6,24.16,328.94,7.99
Gujarat,Vadodara,Rice,Kharif,36.94,1149.88,19.26,83.9,2.27
Kerala,Kollam,Tea,Kharif,5.63,2191.62,22.25,11.0,1.95
Bihar,Munger,Potato,Rabi,13.53,1500.66,40.78,83.43,6.17
Tamil Nadu,Chennai,Banana,Zaid,13.67,972.25,30.22,494.33,36.16
Haryana,Gurugram,Cotton,Zaid,35.38,497.51,7.78,29.01,0.82
Punjab,Amritsar,Wheat,Rabi,9.64,893.45,37.53,15.44,1.6
Assam,Goalpara,Tea,Kharif,45.9,2913.21,16.29,91.39,1.99
Kerala,Thrissur,Coconut,Kharif,15.72,2227.72,27.93,115.63,7.35
West Bengal,Malda,Mustard,Zaid,35.84,1542.53,26.69,17.76,0.5
Haryana,Sonipat,Rice,Rabi,4.99,351.38,41.94,6.07,1.22
Punjab,Gurdaspur,Wheat,Rabi,34.93,483.42,17.57,121.21,3.47
Uttar Pradesh,Saharanpur,Wheat,Zaid,33.34,886.47,16.47,110.34,3.31
Madhya Pradesh,Hoshangabad,Soybean,Zaid,33.05,1393.09,44.21,17.09,0.52
Uttar Pradesh,Kanpur,Rice,Kharif,3.44,1125.49,43.29,6.41,1.87
Andhra Pradesh,Chittoor,Cotton,Kharif,44.67,694.64,33.96,54.76,1.23
Punjab,Jalandhar,Cotton,Rabi,25.85,697.17,30.56,30.45,1.18
Bihar,Muzaffarpur,Rice,Kharif,37.55,1087.82,38.62,63.78,1.7
Karnataka,Hassan,Ragi,Rabi,18.97,2389.07,24.56,16.71,0.88
Tamil Nadu,Tirunelveli,Sugarcane,Rabi,19.33,1323.27,23.19,1397.42,72.28
Bihar,Munger,Lentil,Rabi,46.3,1046.77,36.87,12.91,0.28
Andhra Pradesh,West Godavari,Tobacco,Kharif,45.04,993.91,28.28,63.56,1.41
Telangana,Hyderabad,Cotton,Kharif,11.6,1116.58,33.93,19.17,1.65
Uttar Pradesh,Jhansi,Sugarcane,Zaid,7.16,852.89,39.23,350.04,48.87
Tamil Nadu,Cuddalore,Cotton,Rabi,11.01,689.07,26.05,15.73,1.43
Haryana,Sonipat,Rice,Rabi,44.43,336.53,17.56,71.75,1.61
Punjab,Ludhiana,Maize,Rabi,12.29,515.48,22.51,20.07,1.63
Madhya Pradesh,Indore,Gram,Rabi,47.77,1123.87,15.27,25.07,0.52
Haryana,Rohtak,Wheat,Zaid,28.51,642.45,35.84,47.23,1.66
Assam,Barpeta,Sugarcane,Rabi,9.88,2627.53,26.76,373.86,37.82
Tamil Nadu,Dindigul,Cotton,Rabi,42.45,733.69,23.99,65.88,1.55
Punjab,Gurdaspur,Sugarcane,Zaid,15.99,622.33,19.22,794.84,49.7
Odisha,Koraput,Sugarcane,Zaid,28.62,1695.96,29.53,2051.0,71.67
Gujarat,Rajkot,Wheat,Zaid,45.59,1487.16,32.56,38.51,0.84
Haryana,Kurukshetra,Wheat,Rabi,22.75,414.22,21.71,46.55,2.05
Bihar,Saran,Potato,Zaid,28.98,1456.89,36.7,175.14,6.04
Andhra Pradesh,Nellore,Groundnut,Rabi,20.69,970.95,27.01,16.2,0.78
Punjab,Jalandhar,Potato,Zaid,44.36,730.56,11.0,666.11,15.02
Assam,Goalpara,Sugarcane,Rabi,28.81,1767.19,32.57,1402.09,48.67
Tamil Nadu,Madurai,Coconut,Kharif,4.29,1186.01,23.58,33.31,7.77
Tamil Nadu,Tirunelveli,Groundnut,Rabi,42.39,1190.16,23.8,30.41,0.72
Punjab,Patiala,Wheat,Rabi,7.27,684.56,8.62,19.15,2.64
Madhya Pradesh,Ujjain,Gram,Kharif,17.86,1348.56,24.95,8.28,0.46
Madhya Pradesh,Ujjain,Sugarcane,Zaid,35.72,1024.97,43.22,1604.18,44.91
Telangana,Medak,Rice,Rabi,27.49,1051.21,22.91,42.48,1.55
Assam,Barpeta,Sugarcane,Kharif,48.48,2693.46,16.41,1489.27,30.72
Punjab,Patiala,Cotton,Zaid,28.43,438.24,27.01,34.82,1.22
Uttar Pradesh,Mathura,Mustard,Kharif,15.57,810.99,23.77,10.79,0.69
Bihar,Begusarai,Lentil,Kharif,5.08,1211.68,28.03,1.52,0.3
Uttar Pradesh,Bareilly,Mustard,Rabi,13.79,1116.93,44.48,4.12,0.3
Maharashtra,Solapur,Sugarcane,Rabi,44.08,2552.44,27.42,2009.1,45.58
Bihar,Darbhanga,Wheat,Rabi,34.05,1011.74,19.68,82.73,2.43
Bihar,Vaishali,Lentil,Zaid,17.53,1374.58,24.34,7.85,0.45
Haryana,Hisar,Rice,Kharif,15.72,335.11,29.12,27.61,1.76
Odisha,Mayurbhanj,Turmeric,Zaid,43.4,1457.99,27.36,267.64,6.17
Haryana,Bhiwani,Rice,Zaid,8.54,606.04,8.32,10.86,1.27
Karnataka,Bidar,Cotton,Rabi,14.76,1237.07,23.27,17.39,1.18
Andhra Pradesh,Srikakulam,Chilli,Kharif,10.64,1158.88,22.11,16.9,1.59
West Bengal,Jalpaiguri,Mustard,Kharif,11.88,2406.5,30.07,4.48,0.38
West Bengal,Nadia,Wheat,Kharif,43.41,1259.98,33.94,41.39,0.95
Karnataka,Bangalore Urban,Coffee,Zaid,2.74,765.51,23.68,2.29,0.83
Tamil Nadu,Nagapattinam,Rice,Kharif,16.94,1396.76,26.45,32.37,1.91
Telangana,Rangareddy,Turmeric,Rabi,28.08,1056.46,21.77,145.84,5.19
Karnataka,Dakshina Kannada,Rice,Zaid,23.0,2949.52,34.34,29.09,1.26
Madhya Pradesh,Rewa,Rice,Zaid,32.43,1309.59,19.31,54.71,1.69
Uttar Pradesh,Bareilly,Sugarcane,Rabi,22.29,972.85,31.92,1650.81,74.07
Odisha,Kalahandi,Turmeric,Rabi,29.25,1521.99,39.39,114.26,3.91
Rajasthan,Sikar,Bajra,Kharif,20.01,231.15,19.67,16.31,0.82
Assam,Karbi Anglong,Jute,Kharif,28.76,2222.94,23.93,45.78,1.59
Odisha,Puri,Groundnut,Zaid,18.19,1511.79,32.23,16.22,0.89
Tamil Nadu,Salem,Groundnut,Rabi,16.07,925.4,38.7,17.41,1.08
Odisha,Puri,Jute,Zaid,3.46,1394.7,19.7,5.41,1.56
Tamil Nadu,Dindigul,Sugarcane,Kharif,12.91,912.38,30.42,747.64,57.93
Karnataka,Bangalore Urban,Sugarcane,Kharif,43.1,1198.76,25.13,2749.12,63.78
Gujarat,Bharuch,Rice,Kharif,36.86,448.98,27.28,67.69,1.84
West Bengal,Birbhum,Mustard,Rabi,46.48,1491.26,11.34,20.87,0.45
Tamil Nadu,Madurai,Groundnut,Zaid,31.83,856.82,38.79,33.15,1.04
Punjab,Sangrur,Potato,Zaid,48.94,744.86,36.7,593.99,12.14
Kerala,Ernakulam,Rubber,Zaid,26.32,2035.37,33.7,23.47,0.89
Rajasthan,Bikaner,Wheat,Zaid,26.16,119.79,24.47,35.03,1.34
Assam,Sivasagar,Sugarcane,Rabi,20.47,1846.15,20.93,784.64,38.33
Gujarat,Amreli,Bajra,Zaid,41.77,1153.06,15.83,20.61,0.49
Andhra Pradesh,Srikakulam,Cotton,Zaid,35.76,1183.29,34.05,48.51,1.36
Karnataka,Mysore,Cotton,Rabi,27.15,2594.53,21.11,19.74,0.73
West Bengal,Midnapore,Jute,Rabi,3.74,2076.66,27.85,10.48,2.8
Maharashtra,Solapur,Soybean,Kharif,48.68,2691.62,23.84,21.68,0.45
Andhra Pradesh,Prakasam,Groundnut,Kharif,37.52,956.33,33.46,33.28,0.89
Madhya Pradesh,Gwalior,Cotton,Zaid,10.1,1134.82,29.16,15.53,1.54
Madhya Pradesh,Rewa,Soybean,Kharif,39.96,1439.19,13.74,27.6,0.69
Tamil Nadu,Madurai,Sugarcane,Zaid,39.81,1109.45,37.25,1945.14,48.86
Andhra Pradesh,Visakhapatnam,Rice,Rabi,10.48,980.44,25.45,18.37,1.75
Tamil Nadu,Madurai,Banana,Rabi,26.26,1160.13,31.11,780.32,29.71
Karnataka,Bidar,Cotton,Rabi,8.31,1767.51,22.78,6.35,0.76
